Time (s),Voltage,Current
215.0522620677948,3.64004,-0.195158
216.14832496643066,3.63998,-0.195087
217.23863816261292,3.64,-0.195159
218.32862639427185,3.63996,-0.195061
219.42280673980713,3.63996,-0.195179
220.5109989643097,3.63988,-0.195012
221.59974026679993,3.63995,-0.195143
222.6876242160797,3.63985,-0.195137
223.77569913864136,3.63983,-0.1951
224.8656940460205,3.63984,-0.195097
225.96255087852478,3.63976,-0.195117
227.0536539554596,3.6398,-0.195132
228.14308619499207,3.63973,-0.195079
229.23982787132263,3.63973,-0.19513
230.32765555381775,3.63971,-0.195098
231.41883444786072,3.6397,-0.195131
232.50590777397156,3.63967,-0.195078
233.59303188323975,3.63966,-0.195086
234.68464040756226,3.63961,-0.19516
235.78236889839172,3.63958,-0.195117
236.8740692138672,3.63958,-0.195073
237.96449065208435,3.63956,-0.195107
239.06013226509094,3.63951,-0.195134
240.14989972114563,3.6395,-0.195156
241.2379915714264,3.63947,-0.195028
242.32859873771667,3.63948,-0.195111
243.4246530532837,3.63943,-0.195059
244.5119001865387,3.63945,-0.195152
245.60408639907837,3.63935,-0.195095
246.69459009170532,3.63936,-0.195098
247.78841352462769,3.63931,-0.19507
248.87961673736572,3.63933,-0.195134
249.96715903282166,3.6393,-0.19509
251.0552670955658,3.63928,-0.195108
252.1451439857483,3.63925,-0.195114
253.24375557899475,3.63926,-0.195038
254.3320028781891,3.6392,-0.195094
255.42244744300842,3.63919,-0.19509
256.5185618400574,3.63911,-0.195121
257.60733556747437,3.63915,-0.195092
258.6968731880188,3.63911,-0.195074
259.78573346138,3.6391,-0.195059
260.8751006126404,3.6391,-0.195111
261.96695590019226,3.63907,-0.195056
263.05748414993286,3.63908,-0.195163
264.1472249031067,3.63896,-0.195109
265.2425117492676,3.63899,-0.195186
266.3349449634552,3.63895,-0.195036
267.4244487285614,3.63896,-0.195123
268.51039147377014,3.63886,-0.1951
269.6004374027252,3.6389,-0.195066
270.6971085071564,3.63886,-0.195192
271.79088401794434,3.63887,-0.195124
272.89171028137207,3.63885,-0.195055
273.98183846473694,3.63883,-0.195037
275.06890773773193,3.63882,-0.195173
276.1566321849823,3.63876,-0.195167
277.2445902824402,3.63873,-0.195071
278.3417179584503,3.63873,-0.195089
279.43165707588196,3.6387,-0.195105
280.5222942829132,3.63865,-0.195107
281.61113452911377,3.63859,-0.195052
282.70074367523193,3.63866,-0.195167
283.7971866130829,3.63858,-0.195105
284.88764905929565,3.63861,-0.195122
285.9747381210327,3.63857,-0.195021
287.06568455696106,3.63855,-0.195042
288.1624369621277,3.6385,-0.195137
289.2548260688782,3.63852,-0.195141
290.3451454639435,3.63848,-0.195078
291.44404339790344,3.63844,-0.195173
292.5308394432068,3.6384,-0.195111
293.61774134635925,3.63842,-0.195146
294.706823348999,3.6384,-0.195139
295.7972958087921,3.63833,-0.195112
296.889945268631,3.63837,-0.195181
297.9810450077057,3.63829,-0.195079
299.0719108581543,3.63831,-0.19519
300.1569330692291,3.63831,-0.195101
301.2474699020386,3.63826,-0.195098
302.34414625167847,3.63821,-0.19519
303.43306970596313,3.63824,-0.195111
304.52010464668274,3.63815,-0.195075
305.60686707496643,3.63814,-0.195118
306.6983804702759,3.63811,-0.195065
307.79185366630554,3.63812,-0.195123
308.88185024261475,3.63808,-0.195054
309.9711353778839,3.63807,-0.195189
311.0579664707184,3.63801,-0.195068
312.14949321746826,3.638,-0.195041
313.2430012226105,3.63793,-0.195192
314.3327250480652,3.63798,-0.195051
315.4221956729889,3.63798,-0.195143
316.5142583847046,3.63788,-0.195148
317.60933017730713,3.63792,-0.195128
318.6954252719879,3.63784,-0.19507
319.7820711135864,3.63784,-0.195094
320.8712434768677,3.63785,-0.195084
321.9622986316681,3.63781,-0.195156
323.0590629577637,3.63785,-0.195107
324.1496579647064,3.63777,-0.195094
325.2358305454254,3.63778,-0.195064
326.32223892211914,3.63776,-0.195142
327.40917134284973,3.63771,-0.195067
328.5004711151123,3.6377,-0.195068
329.5964710712433,3.63767,-0.195158
330.68515825271606,3.63762,-0.19512
331.77247762680054,3.63761,-0.195179
332.8593225479126,3.63757,-0.195111
333.94665789604187,3.63753,-0.195075
335.0409424304962,3.63754,-0.195129
336.1349883079529,3.63751,-0.195063
337.2234733104706,3.63754,-0.195145
338.31355905532837,3.63747,-0.195129
339.4102716445923,3.63744,-0.195183
340.49783873558044,3.63742,-0.195106
341.5884907245636,3.6374,-0.195141
342.6744980812073,3.6374,-0.195096
343.7665898799896,3.63736,-0.195023
344.8622393608093,3.63732,-0.195173
345.95205307006836,3.63736,-0.195144
347.04170846939087,3.63726,-0.195127
348.1384046077728,3.63726,-0.195089
349.2287690639496,3.63726,-0.195085
350.31821155548096,3.63722,-0.195101
351.4170205593109,3.63726,-0.195042
352.5076811313629,3.63722,-0.195096
353.60290241241455,3.63719,-0.195119
354.6907534599304,3.63712,-0.195128
355.7808532714844,3.63712,-0.195077
356.86871099472046,3.63714,-0.195153
357.95998668670654,3.6371,-0.195164
359.0534291267395,3.63711,-0.195136
360.1421625614166,3.63703,-0.195143
361.23469829559326,3.63703,-0.19506
362.32078409194946,3.63699,-0.195151
363.40896916389465,3.63695,-0.195081
364.4958562850952,3.63696,-0.195081
365.5836970806122,3.63697,-0.195113
366.67176628112793,3.63695,-0.195171
367.76131892204285,3.6369,-0.195099
368.84790778160095,3.6369,-0.195074
369.9359550476074,3.63688,-0.195112
371.0285019874573,3.63684,-0.195168
372.1220533847809,3.63679,-0.195136
373.2131140232086,3.63678,-0.195163
374.30447912216187,3.63676,-0.19508
375.4003093242645,3.63673,-0.195151
376.4867949485779,3.63673,-0.195129
377.57805824279785,3.63674,-0.195185
378.6691288948059,3.63668,-0.195092
379.7630114555359,3.63665,-0.195094
380.85161781311035,3.63661,-0.195035
381.9429967403412,3.63667,-0.195088
383.03121852874756,3.63657,-0.195124
384.1192512512207,3.63655,-0.194996
385.20727610588074,3.63661,-0.195137
386.29728174209595,3.63656,-0.195178
387.39402318000793,3.63654,-0.195092
388.4817087650299,3.63654,-0.19511
389.572212934494,3.63645,-0.195066
390.6638672351837,3.63649,-0.195157
391.7606065273285,3.63641,-0.195103
392.85175132751465,3.6364,-0.195129
393.9471433162689,3.6364,-0.195102
